REF_SKU;AVAILABLE;PREORDER;PRODUCT_FREE;PRODUCT_SHIP;PRODUCT_VIRTUAL;SKU;MANUFACTURER;PRODUCT_WEIGHT;PRODUCT_ITEM_WEIGHT;PRODUCT_HEIGHT;PRODUCT_LENGTH;PRODUCT_WIDTH;CATEGORY;FREE_SHIPPING;QUANTITY;QUANTITY_ORD_MIN;QUANTITY_ORD_MAX;NAME;DESCRIPTION;PRODUCT_PRICE_AMOUNT;PRODUCT_PRICE_SPECIAL_AMOUNT;PRODUCT_PRICE_SPECIAL_ST_DATE;PRODUCT_PRICE_SPECIAL_END_DATE;META_TAGS;MINIMUM_INCREASE
959860;true;;;;;959860;TRAMONTINA (BAZAR, HERRAMIENTAS, ELECTRICIDAD);;;;;;J06;;1;1;100000;Kit Manguera Con Soporte Tramontina x18mt;"Cuidar el jardín tiene que ser una actividad placentera. Por eso, nada como tener una manguera totalmente adecuada y resistente.
La manguera Flex de Tramontina le agrega eficiencia y calidad a su trabajo y le facilita la vida en el día a día.
Fabricada con material resistente de alta flexibilidad, la manguera permitirá llegar a los puntos más difíciles en el momento de regar su jardín.
Manguera flexible y de fácil manejo.
Tiene 18 m de largo.
Recomendada para situaciones de uso con presión de agua hasta 10 bar [145 psi] y temperatura hasta 50 °C.
Para mayor resistencia, tiene tres capas distintas: interna de PVC, intermedia de hilo poliéster trenzado y externa de PVC.
Incluye 1 boquilla con chorro regulable, 1 soporte fijo para manguera y 1 adaptador con acople con rosca.
La boquilla tiene práctico sistema de regulado del flujo de agua con el regulador frontal.
La boquilla se conecta a mangueras con sistema de fijación con rosca.";102400;;;;KIT,MANGUERA,TRAMONTINA,KIT DE MANGUERA,KIT PARA MANGUERA,SET,SET PARA MANGUERA,SET DE MANGUERA CON ACCESORIO,KIT MANGUERA CON ACCESORIO,KIT  CON ACCESORIO,ACCESORIO;1
892015;false;;;;;892015;GERMANY;;;;;;F09;;1;1;100000;HOJA PARA CEPILLADORA GERMANY 600MM;<p>HOJA PARA CEPILLADORA GERMANY 600MM</p>;153000;;;;HOJA PARA CEPILLADORA GERMANY,GERMANY,HOJA;1
845861;true;;;;;845861;DELTA PLUS;;;;;;113;;1;1;100000;CRIQUET 7½TN 100MM X 9MT ESLINGAR;<p>CRIQUET 7½TN 100MM X 9MT ESLINGAR</p>;430000;;;;CRIQUET,CRIQUET PARA CARGA,ESLINGAR,CATRACA,DELTA PLUS;1
845817;true;;;;;845817;DELTA PLUS;;;;;;113;;1;1;100000;"CABO VIDA""Y"" 1½MT ESLINGAR 1026EA";"<p><strong>Tipo de equipo :</strong>&nbsp;Elemento de amarre anticaídas en cinta elastizada</p>
<p><strong>Largo máximo (m) :</strong>&nbsp;1,5 m</p>
<p><strong>Largo mínimo (m) :</strong>&nbsp;1,2 m</p>
<p><strong>Con conector :</strong>&nbsp;Sí</p>
<p><strong>Conector (lado usuario) :</strong>&nbsp;Mosquetón de acero con abertura de 18 mm</p>
<p><strong>Conector (lado estructura) :</strong>&nbsp;2 mosquetones de acero con abertura de 55 mm</p>
<p><strong>Vida útil desde la fabricación (años) :</strong>&nbsp;10</p>
<p><strong>Tipo de envase :</strong>&nbsp;Caja de 5</p>";252000;;;;DELTA PLUS,ESLINGAR,CABO VIDA Y,CABO;1
8458451;true;;;;;8458451;DELTA PLUS;;;;;;113;;1;1;100000;LINEA DE VIDA ESLINGAR 12x10M;<p>LINEA DE VIDA ESLINGAR 12x10M</p>;251000;;;;DELTA PLUS,ESLINGAR,LINEA DE VIDA;1
9599436;true;;;;;9599436;TRAMONTINA (BAZAR, HERRAMIENTAS, ELECTRICIDAD);;;;;;A08;;1;1;100000;CUCHILLA DESMALEZADORA 25MM TRAMONTINA 78796;<p>CUCHILLA DESMALEZADORA 25MM TRAMONTINA 78796</p>;19000;;;;TRAMONTINA,CUCHILLA DESMALEZADORA,CUCHILLA,CUCHILLA TRAMONTINA;1
T626351;true;;;;;T626351;TRAMONTINA (BAZAR, HERRAMIENTAS, ELECTRICIDAD);;;;;;O02;;1;1;100000;SARTEN PROFESIONAL Tramontina 200;Para los amantes de la gastronomía, sean profesionales o no, el sartén Tramontina raso de acero inoxidable fondo triple con mango 20 cm de diámetro 1,1 L de la línea Professional de Tramontina es la elección perfecta para realizar la preparación de diversos tipos de receta, ofreciendo la practicidad y elegancia de acero inoxidable. Puede usarse tanto en la cocina como en el horno para finalizar (con temperatura máxima de 260°). Su formato permite una preparación ágil y rápida, cuenta también con un fondo triple (acero inoxidable + aluminio + acero inoxidable) que distribuye el calor uniformemente por el sartén. Prepare y finalice sus platos con maestría, sabiendo que eligió la pieza perfecta para ayudarle.;167000;;;;SARTEN,PROFESIONAL,TRAMONTINA,COCINA,SARTENPROFESIONALTRAMONTINA;1
G07537;true;;;;;G07537;KRONA;;;;;;G07;;1;1;100000;Rejilla Blanca KRONA 936 10 x 10 cm;"<p><span>Los productos de esta sección están destinados a recibir los residuos de los sistemas de alcantarillado y su eliminación.&nbsp;La línea, que incluye drenajes, drenes y rejillas, complementa la instalación de sistemas de edificios y condominios, conectando puntos de recolección, flujo de agua y alcantarillado.</span><br><span>Los artículos de esta sección son fabricados en PVC, siguiendo la determinación de las normas brasileñas.&nbsp;La Línea de Cajas de Aguas Residuales y Sifones es altamente probada, calificada y resistente, siguiendo estándares de seguridad y calidad, convirtiéndola en la solución ideal para proyectos residenciales, comerciales e industriales.</span></p>";1510;;;;REJILLA,BLANCA,CUADRADA,KRONA,REJILLA CUADRADA KRONA;1
892100;false;;;;;892100;GERMANY;;;;;;725;;1;1;100000;REMACHADORA GERMANY;<p>REMACHADORA GERMANY</p>;155000;;;;REMACHADORA GERMANY,GERMANY,REMACHADORA;1
845855;true;;;;;845855;DELTA PLUS;;;;;;113;;1;1;100000;CRIQUET 3TN 50MM X 6MT ESLINGAR;<p>CRIQUET 3TN 50MM X 6MT ESLINGAR</p>;88200;;;;CRIQUET,CRIQUET PARA CARGA,ESLINGAR,CATRACA,DELTA PLUS;1
